SubscriberKey,Event,Domain,Timestamp,JobID
aaron02@example.org,unsub,example.org,2024-04-25 00:20:48.898632,442411
aaron30@example.org,click,example.org,2024-04-28 10:08:46.575807,355427
aaron30@example.org,unsub,example.org,2024-04-28 10:08:46.575807,964505
aaron85@example.org,open,example.org,2024-04-10 17:35:42.060171,701968
aaron85@example.org,unsub,example.org,2024-04-10 17:35:42.060171,217868
aaronpatterson@example.net,click,example.net,2024-04-11 01:11:55.031645,442411
aaronpatterson@example.net,click,example.net,2024-04-11 01:12:50.031645,411052
aaronpatterson@example.net,click,example.net,2024-04-11 01:19:07.031645,243237
aaronpatterson@example.net,open,example.net,2024-04-11 02:19:07.031645,701968
aaronpatterson@example.net,open,example.net,2024-04-11 02:53:07.031645,436466
aaronpatterson@example.net,open,example.net,2024-04-11 03:46:07.031645,795586
aaronpatterson@example.net,open,example.net,2024-04-11 04:19:07.031645,688897
aaronpatterson@example.net,click,example.net,2024-04-11 04:25:01.031645,688897
aaronpatterson@example.net,unsub,example.net,2024-04-11 04:25:01.031645,688897
abigail96@example.net,sent,example.net,2024-04-11 06:04:34.031431,785129
abigail96@example.net,click,example.net,2024-04-11 06:13:18.031431,795586
abigail96@example.net,unsub,example.net,2024-04-11 06:13:18.031431,943918
acostalacey@example.org,open,example.org,2024-04-17 17:13:57.300324,442411
acostalacey@example.org,open,example.org,2024-04-17 17:49:57.300324,964505
acostalacey@example.org,unsub,example.org,2024-04-17 17:49:57.300324,701968
acurry@example.net,sent,example.net,2024-04-06 20:47:05.064479,442411
acurry@example.net,open,example.net,2024-04-06 21:00:05.064479,701968
acurry@example.net,click,example.net,2024-04-06 21:01:30.064479,785129
acurry@example.net,click,example.net,2024-04-06 21:05:03.064479,736652
acurry@example.net,unsub,example.net,2024-04-06 21:05:03.064479,436466
adamsdaniel@example.org,open,example.org,2024-04-05 20:25:00.124211,334812
adamsdaniel@example.org,unsub,example.org,2024-04-05 20:25:00.124211,964505
adamslisa@example.com,sent,example.com,2024-04-06 05:01:59.151912,964505
adamslisa@example.com,sent,example.com,2024-04-11 02:08:01.870804,735189
adamslisa@example.com,unsub,example.com,2024-04-11 02:08:01.870804,442411
adamslisa@example.com,sent,example.com,2024-04-19 21:08:10.137676,769322
adamslisa@example.com,open,example.com,2024-04-19 21:55:10.137676,577041
adamslisa@example.com,sent,example.com,2024-04-26 03:00:18.940383,334812
adamsmith@example.net,open,example.net,2024-04-27 14:51:00.330374,701968
adamsmith@example.net,unsub,example.net,2024-04-27 14:51:00.330374,943918
adavis@example.org,unsub,example.org,2024-04-13 07:12:26.285251,411052
adrienne09@example.org,sent,example.org,2024-04-01 10:21:54.346562,577041
adrienne09@example.org,click,example.org,2024-04-01 10:29:51.346562,769322
adrienne09@example.org,click,example.org,2024-04-08 05:06:40.102402,730458
adrienne09@example.org,click,example.org,2024-04-08 05:13:13.102402,243237
adrienne09@example.org,sent,example.org,2024-04-22 15:11:37.890996,355427
adrienne09@example.org,unsub,example.org,2024-04-22 15:11:37.890996,334812
adrienne09@example.org,sent,example.org,2024-04-23 21:51:13.827194,964505
aflores@example.net,unsub,example.net,2024-04-11 02:02:17.254045,355427
againes@example.com,unsub,example.com,2024-04-05 11:26:01.039320,795586
aguirrethomas@example.com,click,example.com,2024-04-04 00:37:37.234615,442411
aguirrethomas@example.com,click,example.com,2024-04-04 00:41:57.234615,243237
aguirrethomas@example.com,sent,example.com,2024-04-16 21:46:21.332994,701968
aguirrethomas@example.com,unsub,example.com,2024-04-16 21:46:21.332994,795586
alan71@example.net,sent,example.net,2024-04-17 01:41:02.866441,412782
alan71@example.net,unsub,example.net,2024-04-17 01:41:02.866441,577041
alan71@example.net,sent,example.net,2024-04-29 17:30:49.985251,442411
alancharles@example.com,open,example.com,2024-04-02 12:20:29.131096,701968
alancharles@example.com,unsub,example.com,2024-04-02 12:20:29.131096,785129
alex91@example.com,sent,example.com,2024-04-01 01:37:12.556168,217868
alex91@example.com,sent,example.com,2024-04-07 09:35:27.590818,736652
alex91@example.com,sent,example.com,2024-04-10 10:13:05.821331,701968
alex91@example.com,open,example.com,2024-04-10 10:35:05.821331,795586
alex91@example.com,sent,example.com,2024-04-17 01:24:20.232291,769322
alex91@example.com,sent,example.com,2024-04-24 01:55:57.794528,964505
alex91@example.com,open,example.com,2024-04-24 02:50:57.794528,735189
alex91@example.com,unsub,example.com,2024-04-24 02:50:57.794528,436466
alex91@example.com,sent,example.com,2024-04-27 15:00:02.110135,436466
alexander13@example.net,click,example.net,2024-04-22 13:10:12.611141,243237
alexander13@example.net,open,example.net,2024-04-22 13:35:12.611141,217868
alexander13@example.net,unsub,example.net,2024-04-22 13:35:12.611141,436466
alexander98@example.com,sent,example.com,2024-04-08 09:08:19.797542,964505
alexander98@example.com,sent,example.com,2024-04-12 23:01:08.899879,411052
alexander98@example.com,click,example.com,2024-04-12 23:06:51.899879,795586
alexander98@example.com,open,example.com,2024-04-12 23:08:51.899879,785129
alexander98@example.com,unsub,example.com,2024-04-12 23:08:51.899879,411052
alexander98@example.com,sent,example.com,2024-04-18 01:28:12.800534,964505
alexander98@example.com,open,example.com,2024-04-18 01:35:12.800534,688897
alexander98@example.com,open,example.com,2024-04-18 01:47:12.800534,730458
alexander98@example.com,sent,example.com,2024-04-20 12:37:28.640252,334812
alexander98@example.com,open,example.com,2024-04-20 13:03:28.640252,355427
alexander98@example.com,open,example.com,2024-04-20 13:27:28.640252,688897
alexander98@example.com,sent,example.com,2024-04-21 03:40:12.555043,730458
alexander98@example.com,open,example.com,2024-04-21 03:51:12.555043,334812
alexander98@example.com,sent,example.com,2024-04-28 20:27:43.518338,243237
alexanderowens@example.com,click,example.com,2024-04-03 22:09:13.071583,442411
alexanderowens@example.com,open,example.com,2024-04-03 22:36:13.071583,688897
alexanderowens@example.com,click,example.com,2024-04-03 22:41:07.071583,334812
alexanderowens@example.com,click,example.com,2024-04-03 22:42:24.071583,334812
alexanderowens@example.com,sent,example.com,2024-04-12 02:09:20.147210,735189
